2011,Australia,3,Equ. Guinea,2,Group,Australia
2011,Brazil,3,Norway,0,Group,Brazil
2011,England,2,Japan,0,Group,England
2011,New Zealand,2,Mexico,2,Group,Draw
2011,France,2,Germany,4,Group,Germany
2011,Canada,0,Nigeria,1,Group,Nigeria
2011,Equ. Guinea,0,Brazil,3,Group,Brazil
2011,Australia,2,Norway,1,Group,Australia
2011,Sweden,2,USA,1,Group,Sweden
2011,Korea DPR,0,Colombia,0,Group,Draw
2011,England,1,France,1,Quarter Final,Draw
2011,Germany,0,Japan,1,Quarter Final,Japan
2011,Sweden,3,Australia,1,Quarter Final,Sweden
2011,Brazil,2,USA,2,Quarter Final,Draw
2011,France,1,USA,3,Semi Final,USA
2011,Japan,3,Sweden,1,Semi Final,Japan
2011,Sweden,2,France,1,Third Place Playoff,Sweden
2011,Japan,2,USA,2,Final,Draw
2015,Canada,1,China PR,1,Group,Draw
2015,New Zealand,0,Netherlands,2,Group,Netherlands
2015,Norway,4,Thailand,0,Group,Norway
2015,Germany,10,Côte d'Ivoire,0,Group,Germany
2015,Sweden,3,Nigeria,3,Group,Draw
2015,Cameroon,6,Ecuador,0,Group,Cameroon
2015,USA,3,Australia,1,Group,USA
2015,Japan,1,Switzerland,0,Group,Japan
2015,France,1,England,0,Group,France
2015,Spain,1,Costa Rica,1,Group,Draw
2015,Colombia,1,Mexico,1,Group,Draw
2015,Brazil,2,Korea Rep,0,Group,Brazil
2015,Germany,1,Norway,1,Group,Draw
2015,China PR,1,Netherlands,0,Group,China PR
2015,Côte d'Ivoire,2,Thailand,3,Group,Thailand
2015,Canada,0,New Zealand,0,Group,Draw
2015,Australia,2,Nigeria,0,Group,Australia
2015,Switzerland,10,Ecuador,1,Group,Switzerland
2015,USA,0,Sweden,0,Group,Draw
2015,Japan,2,Cameroon,1,Group,Japan
2015,France,0,Colombia,2,Group,Colombia
2015,Brazil,1,Spain,0,Group,Brazil
2015,England,2,Mexico,1,Group,England
2015,Korea Rep,2,Costa Rica,2,Group,Draw
2015,Thailand,0,Germany,4,Group,Germany
2015,Côte d'Ivoire,1,Norway,3,Group,Norway
2015,Netherlands,1,Canada,1,Group,Draw
2015,China PR,2,New Zealand,2,Group,Draw
2015,Ecuador,0,Japan,1,Group,Japan
2015,Switzerland,1,Cameroon,2,Group,Cameroon
2015,Nigeria,0,USA,1,Group,USA
2015,Australia,1,Sweden,1,Group,Draw
